anatomy,assd_px,center,detected_lesions_any_overlap,dice,fn_pixels,fp_pixels,group,group_id,group_source,gt_area_pixels,gt_area_ratio,gt_lesions,gt_positive,hd95_px,image_name,iou,lesion_tp_one_to_one_iou10,lesion_tp_one_to_one_iou25,lesion_tp_one_to_one_iou50,matched_predicted_lesions_any_overlap,pixel_specificity,precision,pred_area_pixels,pred_area_ratio,predicted_lesions,predicted_positive,recall,skipped_low_confidence,status,tn_pixels,tp_pixels,tumor_type,tumor_type_name,view
hip bone,199.01903316276122,1,0,0.0,3915,136,tumor,btxrd-heuristic-000001,consecutive_image_id_plus_stable_metadata_excluding_view,3915,0.038232421875,1,True,247.75752869643173,IMG000001.jpeg,0.0,0,0,0,0,0.9986190790475707,0.0,136,0.001328125,1,True,0.0,False,ok,98349,0,9,other mt,frontal
humerus,246.84111636372697,1,0,0.0,2772,111,tumor,btxrd-heuristic-000006,consecutive_image_id_plus_stable_metadata_excluding_view,2772,0.0270703125,1,True,299.1533490071963,IMG000010.jpeg,0.0,0,0,0,0,0.9988858553820211,0.0,111,0.001083984375,1,True,0.0,False,ok,99517,0,8,osteosarcoma,frontal
femur,,1,0,0.0,4716,0,tumor,btxrd-heuristic-000009,consecutive_image_id_plus_stable_metadata_excluding_view,4716,0.0460546875,1,True,,IMG000017.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,97684,0,8,osteosarcoma,frontal
femur,,1,0,0.0,6272,0,tumor,btxrd-heuristic-000009,consecutive_image_id_plus_stable_metadata_excluding_view,6272,0.06125,1,True,,IMG000018.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,96128,0,8,osteosarcoma,oblique
humerus,,1,0,0.0,1545,0,tumor,btxrd-heuristic-000017,consecutive_image_id_plus_stable_metadata_excluding_view,1545,0.015087890625,1,True,,IMG000033.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,100855,0,8,osteosarcoma,oblique
humerus,,1,0,0.0,1276,0,tumor,btxrd-heuristic-000017,consecutive_image_id_plus_stable_metadata_excluding_view,1276,0.0124609375,1,True,,IMG000034.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,101124,0,8,osteosarcoma,oblique
hip bone,,1,0,0.0,2378,0,tumor,btxrd-heuristic-000025,consecutive_image_id_plus_stable_metadata_excluding_view,2378,0.02322265625,1,True,,IMG000048.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,100022,0,8,osteosarcoma,frontal
hip bone,141.84576427296997,1,0,0.0,1820,104,tumor,btxrd-heuristic-000025,consecutive_image_id_plus_stable_metadata_excluding_view,1820,0.0177734375,1,True,166.02905446725808,IMG000049.jpeg,0.0,0,0,0,0,0.9989659972161463,0.0,104,0.001015625,1,True,0.0,False,ok,100476,0,8,osteosarcoma,frontal
hip bone,,1,0,0.0,11109,0,tumor,btxrd-heuristic-000026,consecutive_image_id_plus_stable_metadata_excluding_view,11109,0.108486328125,1,True,,IMG000050.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,91291,0,8,osteosarcoma,frontal
humerus,,1,0,0.0,2779,0,tumor,btxrd-heuristic-000029,consecutive_image_id_plus_stable_metadata_excluding_view,2779,0.027138671875,1,True,,IMG000055.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,99621,0,8,osteosarcoma,oblique
humerus,49.560633610493824,1,0,0.0,3491,306,tumor,btxrd-heuristic-000029,consecutive_image_id_plus_stable_metadata_excluding_view,3491,0.034091796875,1,True,106.55348559459395,IMG000056.jpeg,0.0,0,0,0,0,0.9969062471564771,0.0,306,0.00298828125,1,True,0.0,False,ok,98603,0,8,osteosarcoma,frontal
hip bone,,1,0,0.0,6370,0,tumor,btxrd-heuristic-000037,consecutive_image_id_plus_stable_metadata_excluding_view,6370,0.06220703125,1,True,,IMG000071.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,96030,0,8,osteosarcoma,frontal
femur,27.91154305141964,1,1,0.1183815028901734,3813,0,tumor,btxrd-heuristic-000039,consecutive_image_id_plus_stable_metadata_excluding_view,4069,0.039736328125,1,True,60.0,IMG000076.jpeg,0.06291472106168591,0,0,0,1,1.0,1.0,256,0.0025,1,True,0.06291472106168591,False,ok,98331,256,8,osteosarcoma,frontal
femur,,1,0,0.0,2383,0,tumor,btxrd-heuristic-000063,consecutive_image_id_plus_stable_metadata_excluding_view,2383,0.023271484375,1,True,,IMG000125.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,100017,0,8,osteosarcoma,lateral
femur,34.3573548365555,1,0,0.0,4199,1842,tumor,btxrd-heuristic-000063,consecutive_image_id_plus_stable_metadata_excluding_view,4199,0.041005859375,1,True,72.53273023454948,IMG000126.jpeg,0.0,0,0,0,0,0.9812425535381514,0.0,1842,0.01798828125,1,True,0.0,False,ok,96359,0,8,osteosarcoma,frontal
femur,,1,0,0.0,2374,0,tumor,btxrd-heuristic-000069,consecutive_image_id_plus_stable_metadata_excluding_view,2374,0.02318359375,1,True,,IMG000137.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,100026,0,8,osteosarcoma,lateral
femur,,1,0,0.0,2348,0,tumor,btxrd-heuristic-000069,consecutive_image_id_plus_stable_metadata_excluding_view,2348,0.0229296875,1,True,,IMG000138.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,100052,0,8,osteosarcoma,frontal
hip bone,,1,0,0.0,1525,0,tumor,btxrd-heuristic-000073,consecutive_image_id_plus_stable_metadata_excluding_view,1525,0.014892578125,1,True,,IMG000144.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,100875,0,8,osteosarcoma,frontal
hip bone,98.34982822017597,1,0,0.0,7992,280,tumor,btxrd-heuristic-000078,consecutive_image_id_plus_stable_metadata_excluding_view,7992,0.078046875,1,True,146.15248448964044,IMG000152.jpeg,0.0,0,0,0,0,0.9970341496483349,0.0,280,0.002734375,1,True,0.0,False,ok,94128,0,8,osteosarcoma,frontal
femur,51.37247537485074,1,0,0.0,4404,217,tumor,btxrd-heuristic-000082,consecutive_image_id_plus_stable_metadata_excluding_view,4404,0.0430078125,1,True,95.37897893369977,IMG000160.jpeg,0.0,0,0,0,0,0.9977856239030164,0.0,217,0.002119140625,1,True,0.0,False,ok,97779,0,8,osteosarcoma,oblique
femur,,1,0,0.0,2163,0,tumor,btxrd-heuristic-000082,consecutive_image_id_plus_stable_metadata_excluding_view,2163,0.021123046875,1,True,,IMG000161.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,100237,0,8,osteosarcoma,frontal
femur,,1,0,0.0,2380,0,tumor,btxrd-heuristic-000098,consecutive_image_id_plus_stable_metadata_excluding_view,2380,0.0232421875,1,True,,IMG000200.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,100020,0,8,osteosarcoma,frontal
femur,,1,0,0.0,2203,0,tumor,btxrd-heuristic-000098,consecutive_image_id_plus_stable_metadata_excluding_view,2203,0.021513671875,1,True,,IMG000201.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,100197,0,8,osteosarcoma,oblique
femur,6.8716857549215105,1,1,0.6444979216801575,1086,539,tumor,btxrd-heuristic-000099,consecutive_image_id_plus_stable_metadata_excluding_view,2559,0.024990234375,1,True,23.781242215608945,IMG000202.jpeg,0.47546804389928987,1,1,0,1,0.9946014162518404,0.7321073558648111,2012,0.0196484375,1,True,0.5756154747948418,False,ok,99302,1473,8,osteosarcoma,frontal
ankle-joint,185.1946432990251,1,0,0.0,3123,90,tumor,btxrd-heuristic-000109,consecutive_image_id_plus_stable_metadata_excluding_view,3123,0.030498046875,1,True,214.05221281526394,IMG000222.jpeg,0.0,0,0,0,0,0.9990934456117732,0.0,90,0.00087890625,1,True,0.0,False,ok,99187,0,6,synovial osteochondroma,lateral
tibia,,1,0,0.0,57,0,tumor,btxrd-heuristic-000120,consecutive_image_id_plus_stable_metadata_excluding_view,57,0.000556640625,2,True,,IMG000244.jpeg,0.0,0,0,0,0,1.0,0.0,0,0.0,0,False,0.0,False,ok,102343,0,1,osteochondroma,frontal
